phenotype_primary	design	study_primary	study_secondary	summary_error	summary_interval	variants	correlation	standard_error	interval_95	confidence_95_range	probability	confidence_95_low	confidence_95_high	confidence_95_not_one	confidence_95_not_zero	correlation_absolute	cohort	model	phenotype_secondary	interval_99	dependence_type	model_context	model_adjustment	variable
bipolar_type_1	primaries_against_34255042_schmitz_2021	34002096_mullins_2021_bpd1	34255042_schmitz_2021_female	0.0554 (0.0762)	(rg: 0.0554; 95% CI: -0.094 ... 0.2048)	884105.0	0.0554	0.0762	0.149352	-0.094 ... 0.2048	0.4673	-0.093952	0.204752	1.0	0.0	0.0554	female	nan	nan	0.19629120000000003	logistic	joint	adjust	nan
bipolar_type_1	primaries_against_34255042_schmitz_2021	34002096_mullins_2021_bpd1	34255042_schmitz_2021_male	0.0235 (0.0429)	(rg: 0.0235; 95% CI: -0.0606 ... 0.1076)	884105.0	0.0235	0.0429	0.084084	-0.0606 ... 0.1076	0.584	-0.060584	0.107584	1.0	0.0	0.0235	male	nan	nan	0.11051040000000001	logistic	joint	adjust	nan
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	female_joint_1_albumin_imputation	0.0006 (0.0263)	(rg: 0.0006; 95% CI: -0.0509 ... 0.0521)	1115965.0	0.0006	0.0263	0.051548	-0.0509 ... 0.0521	0.9818	-0.0509479999999999	0.052148	1.0	0.0	0.0006	female	joint_1	albumin_imputation	0.0677488	logistic	joint	adjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	female_male_priority_male_joint_1_albumin_imputation	-0.009 (0.0223)	(rg: -0.009; 95% CI: -0.0527 ... 0.0347)	1115965.0	-0.009	0.0223	0.043708	-0.0527 ... 0.0347	0.6876	-0.052708	0.0347079999999999	1.0	0.0	0.009	female_male	joint_1	albumin_imputation	0.057444800000000004	logistic	joint	adjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	female_male_priority_male_unadjust_albumin_imputation	0.0012 (0.0223)	(rg: 0.0012; 95% CI: -0.0425 ... 0.0449)	1115965.0	0.0012	0.0223	0.043708	-0.0425 ... 0.0449	0.9563	-0.042508	0.044908	1.0	0.0	0.0012	female_male	unadjust	albumin_imputation	0.057444800000000004	logistic	joint	unadjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	female_menstruation_regular_joint_1_albumin_imputation	0.0018 (0.0519)	(rg: 0.0018; 95% CI: -0.0999 ... 0.1035)	1115966.0	0.0018	0.0519	0.101724	-0.0999 ... 0.1035	0.9718	-0.099924	0.1035239999999999	1.0	0.0	0.0018	female_menstruation_regular	joint_1	albumin_imputation	0.13369440000000002	logistic	joint	adjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	female_menstruation_regular_unadjust_albumin_imputation	0.0106 (0.0492)	(rg: 0.0106; 95% CI: -0.0858 ... 0.107)	1115966.0	0.0106	0.0492	0.096432	-0.0858 ... 0.107	0.8296	-0.085832	0.107032	1.0	0.0	0.0106	female_menstruation_regular	unadjust	albumin_imputation	0.1267392	logistic	joint	unadjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	female_perimenopause_joint_1_albumin_imputation	0.0001 (0.0557)	(rg: 0.0001; 95% CI: -0.1091 ... 0.1093)	1115965.0	0.0001	0.0557	0.1091719999999999	-0.1091 ... 0.1093	0.998	-0.1090719999999999	0.109272	1.0	0.0	0.0001	female_perimenopause	joint_1	albumin_imputation	0.1434832	logistic	joint	adjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	female_perimenopause_unadjust_albumin_imputation	0.0399 (0.054)	(rg: 0.0399; 95% CI: -0.0659 ... 0.1457)	1115965.0	0.0399	0.054	0.10584	-0.0659 ... 0.1457	0.4596	-0.06594	0.14574	1.0	0.0	0.0399	female_perimenopause	unadjust	albumin_imputation	0.139104	logistic	joint	unadjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	female_postmenopause_joint_1_albumin_imputation	0.0009 (0.0273)	(rg: 0.0009; 95% CI: -0.0526 ... 0.0544)	1115965.0	0.0009	0.0273	0.053508	-0.0526 ... 0.0544	0.9739	-0.052608	0.054408	1.0	0.0	0.0009	female_postmenopause	joint_1	albumin_imputation	0.0703248	logistic	joint	adjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	female_postmenopause_unadjust_albumin_imputation	0.0167 (0.0268)	(rg: 0.0167; 95% CI: -0.0358 ... 0.0692)	1115965.0	0.0167	0.0268	0.052528	-0.0358 ... 0.0692	0.5341	-0.035828	0.069228	1.0	0.0	0.0167	female_postmenopause	unadjust	albumin_imputation	0.06903680000000001	logistic	joint	unadjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	female_premenopause_joint_1_albumin_imputation	0.018 (0.0551)	(rg: 0.018; 95% CI: -0.09 ... 0.126)	1115966.0	0.018	0.0551	0.107996	-0.09 ... 0.126	0.7441	-0.089996	0.125996	1.0	0.0	0.018	female_premenopause	joint_1	albumin_imputation	0.14193760000000002	logistic	joint	adjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	female_premenopause_unadjust_albumin_imputation	-0.0102 (0.0566)	(rg: -0.0102; 95% CI: -0.1211 ... 0.1007)	1115966.0	-0.0102	0.0566	0.1109359999999999	-0.1211 ... 0.1007	0.857	-0.121136	0.1007359999999999	1.0	0.0	0.0102	female_premenopause	unadjust	albumin_imputation	0.1458016	logistic	joint	unadjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	female_unadjust_albumin_imputation	0.0126 (0.0248)	(rg: 0.0126; 95% CI: -0.036 ... 0.0612)	1115965.0	0.0126	0.0248	0.048608	-0.036 ... 0.0612	0.6108	-0.036008	0.061208	1.0	0.0	0.0126	female	unadjust	albumin_imputation	0.0638848	logistic	joint	unadjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	male_age_high_joint_1_albumin_imputation	-0.0435 (0.0359)	(rg: -0.0435; 95% CI: -0.1139 ... 0.0269)	1115965.0	-0.0435	0.0359	0.070364	-0.1139 ... 0.0269	0.2262	-0.1138639999999999	0.026864	1.0	0.0	0.0435	male_age_high	joint_1	albumin_imputation	0.0924784	logistic	joint	adjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	male_age_high_unadjust_albumin_imputation	-0.0448 (0.036)	(rg: -0.0448; 95% CI: -0.1154 ... 0.0258)	1115965.0	-0.0448	0.036	0.07056	-0.1154 ... 0.0258	0.2131	-0.1153599999999999	0.0257599999999999	1.0	0.0	0.0448	male_age_high	unadjust	albumin_imputation	0.092736	logistic	joint	unadjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	male_age_low_joint_1_albumin_imputation	0.0352 (0.0369)	(rg: 0.0352; 95% CI: -0.0371 ... 0.1075)	1115965.0	0.0352	0.0369	0.072324	-0.0371 ... 0.1075	0.3404	-0.037124	0.107524	1.0	0.0	0.0352	male_age_low	joint_1	albumin_imputation	0.09505440000000001	logistic	joint	adjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	male_age_low_unadjust_albumin_imputation	0.053 (0.0369)	(rg: 0.053; 95% CI: -0.0193 ... 0.1253)	1115965.0	0.053	0.0369	0.072324	-0.0193 ... 0.1253	0.1515	-0.019324	0.125324	1.0	0.0	0.053	male_age_low	unadjust	albumin_imputation	0.09505440000000001	logistic	joint	unadjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	male_age_middle_joint_1_albumin_imputation	-0.0223 (0.0368)	(rg: -0.0223; 95% CI: -0.0944 ... 0.0498)	1115965.0	-0.0223	0.0368	0.072128	-0.0944 ... 0.0498	0.545	-0.094428	0.049828	1.0	0.0	0.0223	male_age_middle	joint_1	albumin_imputation	0.0947968	logistic	joint	adjust	albumin_imputation
bipolar_type_1	primaries_against_albumin_linear	34002096_mullins_2021_bpd1	male_age_middle_unadjust_albumin_imputation	-0.023 (0.0357)	(rg: -0.023; 95% CI: -0.093 ... 0.047)	1115965.0	-0.023	0.0357	0.069972	-0.093 ... 0.047	0.5195	-0.092972	0.046972	1.0	0.0	0.023	male_age_middle	unadjust	albumin_imputation	0.09196320000000001	logistic	joint	unadjust	albumin_imputation
